id,request_id,video_id,percent_watched,completed_at,last_event_at,metadata,created_at,updated_at
68fc30ad-53d6-4210-8476-1a8fc59b005a,b6b03e73-5866-485a-a2ac-12e47ad78244,jhx3bbqb9a,98.00,2026-07-08 13:07:00.371+00,2026-07-08 13:07:16.406+00,{},2026-07-08 05:52:31.852578+00,2026-07-08 13:07:16.413558+00
7cec842c-3c50-4b0f-92fc-53dc829383bf,c68fb209-0088-4fe5-813f-3d42d3315ff1,jhx3bbqb9a,100.00,2026-07-08 12:52:19.593+00,2026-07-08 13:01:16.093+00,{},2026-07-08 02:19:34.868307+00,2026-07-08 13:01:16.103954+00
37edbb6c-3f30-454b-8b5c-3a71e5b03b77,8854ac96-49dd-4805-94ae-d236551005da,jhx3bbqb9a,100.00,2026-07-21 05:31:29.705+00,2026-07-21 05:31:55.746+00,{},2026-07-02 18:57:24.772298+00,2026-07-21 05:31:55.763189+00
b5cd3e73-f4d4-40ea-918b-51d158cd04bb,10d2f711-c92b-4a38-ab33-5b9bb47381ae,jhx3bbqb9a,100.00,2026-07-09 06:09:00.208+00,2026-07-09 06:17:17.539+00,{},2026-07-09 06:04:22.770995+00,2026-07-09 06:17:17.566302+00
87e6aa76-e0ef-41cb-a92a-afbdf64f5afd,694619d4-2e06-4fa9-838a-b5c1c84ceb2e,jhx3bbqb9a,100.00,2026-07-09 10:28:10.715+00,2026-07-09 10:49:21.077+00,{},2026-07-09 10:11:26.281796+00,2026-07-09 10:49:21.089298+00
694a3a42-e02a-45b7-9cf8-0262048f7eb4,b8a6ace4-7061-4245-98c5-184daa32b201,jhx3bbqb9a,97.00,2026-07-11 12:05:10.408+00,2026-07-11 12:05:19.408+00,{},2026-07-11 11:58:17.24832+00,2026-07-11 12:05:19.416256+00
7bcec5ef-7e1d-49ec-bf47-0d7ee722fe02,41a8afc7-3a60-4fbd-a781-1b0653df5023,jhx3bbqb9a,97.00,2026-07-09 11:07:14.144+00,2026-07-09 11:07:24.821+00,{},2026-07-09 10:35:07.31616+00,2026-07-09 11:07:24.828981+00
48735bdc-55b6-4f59-900d-e41544acb2d1,278fc03a-ae86-4d3a-92f5-283247fd6dbd,jhx3bbqb9a,100.00,2026-07-18 15:00:38.898+00,2026-07-19 09:51:42.177+00,{},2026-07-16 10:21:29.372962+00,2026-07-19 09:51:42.196078+00
1d851a7f-33c9-40e7-a8a9-01ffaf665ceb,cd21ef88-3790-4281-b5e9-fd3b4a278ac4,jhx3bbqb9a,100.00,2026-07-23 12:51:49.637+00,2026-07-23 12:52:14.769+00,{},2026-07-23 12:44:18.85656+00,2026-07-23 12:52:14.775458+00
a8cabf1f-2ef7-4463-9fad-127ba2381048,bc11bdf3-39fd-4d42-b964-56a0eb8833d5,jhx3bbqb9a,100.00,2026-07-13 13:33:41.824+00,2026-07-13 13:34:00.984+00,{},2026-07-13 12:53:36.011128+00,2026-07-13 13:34:00.996885+00
b361b056-b325-4f31-a95e-f477d2fe7116,b2273475-bd5c-48e0-93f2-681e60cad6ee,jhx3bbqb9a,100.00,2026-07-27 06:51:00.774+00,2026-07-27 06:51:26.041+00,{},2026-07-23 08:54:29.228619+00,2026-07-27 06:51:26.053497+00
64a94c2e-8533-445b-8b40-578452b6ccce,23163f08-c96c-420c-9584-f1593080dfde,jhx3bbqb9a,100.00,2026-07-23 17:11:06.107+00,2026-07-25 08:42:03.311+00,{},2026-07-23 07:11:33.318437+00,2026-07-25 08:42:03.331148+00
806e68ee-2a80-48b1-b032-055fe5b69003,a72f711f-6e86-42e2-8e56-c550a65bbb47,jhx3bbqb9a,100.00,2026-07-16 12:13:04.019+00,2026-07-16 12:13:29.302+00,{},2026-07-16 12:03:13.240585+00,2026-07-16 12:13:29.320059+00
f891eab5-48d3-47cd-a0c7-f43c101980bc,51eed506-2f7c-4f9f-9bad-d959d4ab2499,jhx3bbqb9a,100.00,2026-07-23 07:18:57.462+00,2026-07-23 07:20:33.772+00,{},2026-07-23 07:10:26.203566+00,2026-07-23 07:20:33.783317+00
8d2db310-085c-411b-8a1b-e9d60be726ad,546a0ad4-4658-475f-a9a8-7eeddbb7b43c,jhx3bbqb9a,100.00,2026-07-22 11:57:09.146+00,2026-07-22 11:57:39.918+00,{},2026-07-22 11:50:16.163272+00,2026-07-22 11:57:39.931025+00
c1313afe-4873-40f5-b9a2-156fb9a90982,27988b90-3b48-4250-baf5-ba49de09652c,jhx3bbqb9a,100.00,2026-07-24 11:50:51.009+00,2026-07-24 12:25:27.842+00,{},2026-07-22 05:40:59.303528+00,2026-07-24 12:25:27.865309+00
